TIME_STAMP,FORECAST_VALUE,MEASURED_VALUE
2023-01-23,00:00,6302.91,6377
2023-01-23,01:00,5844.86,6003
2023-01-23,02:00,5485.78,5600
2023-01-23,03:00,5209.38,5327
2023-01-23,04:00,5144.02,5296
2023-01-23,05:00,5322.77,5462
2023-01-23,06:00,5925.45,5964
2023-01-23,07:00,6419.19,6451
2023-01-23,08:00,6585.87,6695
2023-01-23,09:00,6660.16,6728
2023-01-23,10:00,6619.21,6701
2023-01-23,11:00,6596.9,6646
2023-01-23,12:00,6545.19,6611
2023-01-23,13:00,6450.17,6529
2023-01-23,14:00,6373.26,6385
2023-01-23,15:00,6449.12,6338
2023-01-23,16:00,6828.68,6637
2023-01-23,17:00,7058.36,6905
2023-01-23,18:00,7033.68,6945
2023-01-23,19:00,7016.36,6938
2023-01-23,20:00,6907.69,6816
2023-01-23,21:00,6727.62,6696
2023-01-23,22:00,6606.35,6599
2023-01-23,23:00,6446.75,6522
